<oov> 1.0	<oov>
BERTEDUH 1.0	B E R T E D U H
BERTENAGA 1.0	B E R T E N A G A
BERTINDAK 1.0	B E R T I N D A K
BERTURUT 1.0	B E R T U R U T
BERUCAP 1.0	B E R U C A P
BERUPA 1.0	B E R U P A
BERWARNA 1.0	B E R W A R N A
BESAR 1.0	B E S A R
BESUK 1.0	B E S U K
BHAKTI 1.0	B A K T I
BI 1.0	B EE I
BIDANG 1.0	B I D A NG
BIGXU 1.0	B I G S U
BILATERAL 1.0	B I L A T E R A L
BIMAS 1.0	B I M A S
BIN 1.0	B EE I EE N
BIRD 1.0	B I R D
BIRU 1.0	B I R U
BISA 1.0	B I S A
BISHOP 1.0	B I S H O P
BISNISNYA 1.0	B I S N I S NY A
BLACK 1.0	B L A K
BLESZINSKY 1.0	B L EE S Z I N S K I
BOEDIONO 1.0	B U D I O N O
BOGOR 1.0	B O G O R
BOLA 1.0	B O L A
BOLEH 1.0	B O L EE H
BOLTON 1.0	B O L T O N
BOM 1.0	B O M
BOX 1.0	B O K S
BOYCE 1.0	B OI C E
BOYKE 1.0	B OI K E
BPPN 1.0	B EE P EE P EE EE N
BQ 1.0	B EE K I
BRAMHS 1.0	B R A M S
BRAXTON 1.0	B R A K S T O N
BRIGJEN 1.0	B R I G J EE N
BROMARTANI 1.0	B R O M A R T A N I
BUAH 1.0	B U A H
BUATAN 1.0	B U A T A N
BUDIMAN 1.0	B U D I M A N
BUKAN 1.0	B U K A N
BUKANLAH 1.0	B U K A N L A H
BUKIT 1.0	B U K I T
BUKTI 1.0	B U K T I
BUKU 1.0	B U K U
BULAN 1.0	B U L A N
BUNGA 1.0	B U NG A
BUNGSU 1.0	B U NG S U
BUNKER 1.0	B A NG K E R
BUNUH 1.0	B U N U H
BUPATI 1.0	B U P A T I
BURSA 1.0	B U R S A
BURUNG 1.0	B U R U NG
BUS 1.0	B U S
BUSANA 1.0	B U S A N A
BUSH 1.0	B U SY
BUWONO 1.0	B U W O N O
BUYUNG 1.0	B U Y U NG
BYPASS 1.0	B AI P A S
CABANG 1.0	C A B A NG
CALON 1.0	C A L O N
CALTEX 1.0	C A L T E K S
CANIO 1.0	C A N I O
CAO 1.0	C EE A O
CARBONI 1.0	C A R B O N I
CB 1.0	C EE B EE
CC 1.0	C EE C EE
CDMA 1.0	C EE D EE EE M A
CEDERA 1.0	C E D E R A
CEKO 1.0	C EE K O
CELCIUS 1.0	C EE L C I U S
CENDRAWASIH 1.0	C E N D R A W A S I H
CENTER 1.0	C EE N T E R
CENTRA 1.0	C EE N T R A
CEPAT 1.0	C E P A T
CERAH 1.0	C E R A H
CETAK 1.0	C EE T A K
CF 1.0	C EE EE F
CGI 1.0	C EE G EE I
CHAERUDDIN 1.0	C A EE R U D I N
CHAERUL 1.0	C A EE R U L
CHAGQUAN 1.0	C A G K U A N
CHANGE 1.0	C A NG EE
CHAUVINISME 1.0	C A U V I N I S M E
CHOPIN 1.0	C O P I N
CHRIS 1.0	C R I S
CIJANTUNG 1.0	C I J A N T U NG
CINA 1.0	C I N A
CINTA 1.0	C I N T A
CLUB 1.0	C L U B
CNRM 1.0	C EE EE N EE R EE M
COIMBRA 1.0	C O I M B R A
COLLEGE 1.0	C O L L EE G EE
COM 1.0	C O M
CONTOH 1.0	C O N T O H
COWPENS 1.0	C O W P EE N S
CPM 1.0	C EE P EE EE M
CPO 1.0	C EE P EE O
CQ 1.0	C EE K I
CRAWFORD 1.0	C R A W F O R D
CS 1.0	C EE EE S
CUACA 1.0	C U A C A
CUNGKILAN 1.0	C U NG K I L A N
CV 1.0	C EE V EE
DAHLAN 1.0	D A H L A N
DALAM 1.0	D A L A M
DAMAI 1.0	D A M A I
DAMPAK 1.0	D A M P A K
DAMRI 1.0	D A M R I
DAN 1.0	D A N
DANA 1.0	D A N A
DANCE 1.0	D A N C E
DANGDUT 1.0	D A NG D U T
DANSA 1.0	D A N S A
DAPAT 1.0	D A P A T
DARAH 1.0	D A R A H
DARI 1.0	D A R I
DARMAWAN 1.0	D A R M A W A N
DARUL 1.0	D A R U L
DARUQUTNI 1.0	D A R U K U T N I
DARUSSALAM 1.0	D A R U S S A L A M
DASAR 1.0	D A S A R
DATANG 1.0	D A T A NG
DAUD 1.0	D A U D
DAVID 1.0	D A V I D
DAVIDS 1.0	D A V I D S
DE 1.0	D EE
DEBAT 1.0	D E B A T
DEBITOR 1.0	D E B I T O R
DEFOE 1.0	D EE F O EE
DEKAT 1.0	D E K A T
DELAPAN 1.0	D E L A P A N
DEMIKIAN 1.0	D E M I K I A N
DENGAN 1.0	D E NG A N
DEPAN 1.0	D E P A N
DEPARTEMEN 1.0	D E P A R T E M EE N
DEPDIKNAS 1.0	D E P D I K N A S
DERAJAT 1.0	D E R A J A T
DERMAWAN 1.0	D E R M A W A N
DESA 1.0	D EE S A
DETEKTOR 1.0	D EE T EE K T O R
DEWAN 1.0	D EE W A N
DHABI 1.0	D A B I
DHARMA 1.0	D A R M A
DI 1.0	D EE I
DIA 1.0	D I A
DIADAKAN 1.0	D I A D A K A N
DIAWALI 1.0	D I A W A L I
DIBACAKAN 1.0	D I B A C A K A N
DIBAWA 1.0	D I B A W A
DIBERANGKATKAN 1.0	D I B E R A NG K A T K A N
DIBERLAKUKAN 1.0	D I B E R L A K U K A N
DIBICARAKAN 1.0	D I B I C A R A K A N
DIBUDIDAYAKAN 1.0	D I B U D I D A Y A K A N
DICABUT 1.0	D I C A B U T
DICALONKAN 1.0	D I C A L O N K A N
DICAPAI 1.0	D I C A P AI
DICIDUK 1.0	D I C I D U K
DICOCOKKAN 1.0	D I C O C O K K A N
DICURIGAI 1.0	D I C U R I G A I
DIDAMPINGI 1.0	D I D A M P I NG I
DIDERITA 1.0	D I D E R I T A
DIDIDIK 1.0	D I D I D I K
DIDUDUKI 1.0	D I D U D U K I
DIDUGA 1.0	D I D U G A
DIDUKUNG 1.0	D I D U K U NG
DIGELAR 1.0	D I G E L A R
DIGUNAKAN 1.0	D I G U N A K A N
DIHADAPI 1.0	D I H A D A P I
DIHADIRI 1.0	D I H A D I R I
DIHAPUSKANNYA 1.0	D I H A P U S K A N NY A
DIHUBUNGI 1.0	D I H U B U NG I
DIIKUTI 1.0	D I I K U T I
DIINGATKAN 1.0	D I I NG A T K A N
DIIRINGI 1.0	D I I R I NG I
DIIZINKAN 1.0	D I I Z I N K A N
DIJADIKAN 1.0	D I J A D I K A N
DIKABARKAN 1.0	D I K A B A R K A N
DIKATAKAN 1.0	D I K A T A K A N
DIKATEGORIKAN 1.0	D I K A T E G O R I K A N
DIKDASMEN 1.0	D I K D A S M EE N
DIKEMBALIKAN 1.0	D I K E M B A L I K A N
DIKEMUDIKAN 1.0	D I K E M U D I K A N
DIKEMUKAKAN 1.0	D I K E M U K A K A N
DIKENALLAH 1.0	D I K E N A L L A H
DIKERJAKAN 1.0	D I K E R J A K A N
DIKEROYOK 1.0	D I K E R O Y O K
DIKOORDINIR 1.0	D I K O O R D I N I R
DILAKUKAN 1.0	D I L A K U K A N
DILALUI 1.0	D I L A L U I
DILANDA 1.0	D I L A N D A
DILAPORKAN 1.0	D I L A P O R K A N
DILAPORKANNYA 1.0	D I L A P O R K A N NY A
DILEPAS 1.0	D I L E P A S
DILEPASKAN 1.0	D I L E P A S K A N
DILIMPAHKAN 1.0	D I L I M P A H K A N
DIMAKSUDKAN 1.0	D I M A K S U D K A N
DIMANA 1.0	D I M A N A
DIMULAI 1.0	D I M U L A I
DIN 1.0	D I N
DINAS 1.0	D I N A S
DINILAI 1.0	D I N I L AI
DIOPERASI 1.0	D I O P E R A S I
DIPACU 1.0	D I P A C U
DIPADU 1.0	D I P A D U
DIPERHATIKAN 1.0	D I P E R H A T I K A N
DIPERIKSA 1.0	D I P E R I K S A
DIPERKIRAKAN 1.0	D I P E R K I R A K A N
DIPERLOMBAKAN 1.0	D I P E R L O M B A K A N
DIPERLUKAN 1.0	D I P E R L U K A N
DIPERTANGGUNGJAWABKAN 1.0	D I P E R T A NG G U NG J A W A B K A N
DIPERTIMBANGKAN 1.0	D I P E R T I M B A NG K A N
DIPIMPIN 1.0	D I P I M P I N
DIPROSES 1.0	D I P R O S E S
DIRAWAT 1.0	D I R A W A T
DIREKTORAT 1.0	D I R EE K T O R A T
DIREKTUR 1.0	D I R EE K T U R
DIRI 1.0	D I R I
DIRINGKUS 1.0	D I R I NG K U S
DIRINTIS 1.0	D I R I N T I S
DIRINYA 1.0	D I R I NY A
DIRJEN 1.0	D I R J EE N
DISAHKAN 1.0	D I S A H K A N
DISALAHPAHAMI 1.0	D I S A L A H P A H A M I
DISAMBUT 1.0	D I S A M B U T
DISAMPAIKAN 1.0	D I S A M P AI K A N
DISBURSEMENT 1.0	D I S B U R S E M E N
DISERBU 1.0	D I S E R B U
DISERGAP 1.0	D I S E R G A P
DISIAPKAN 1.0	D I S I A P K A N
DISTRIK 1.0	D I S T R I K
DISUKAI 1.0	D I S U K A I
DISUMBANGKAN 1.0	D I S U M B A NG K A N
DISUSUL 1.0	D I S U S U L
DITANDATANGANI 1.0	D I T A N D A T A NG A N I
DITANGANI 1.0	D I T A NG A N I
DITANGKAP 1.0	D I T A NG K A P
DITANYA 1.0	D I T A NY A
DITARIK 1.0	D I T A R I K
DITAYANGKAN 1.0	D I T A Y A NG K A N
DITEMPATKAN 1.0	D I T E M P A T K A N
DITEMUKAN 1.0	D I T E M U K A N
DITERAPKAN 1.0	D I T E R A P K A N
DITODONG 1.0	D I T O D O NG
DITUJU 1.0	D I T U J U
DITUNTUT 1.0	D I T U N T U T
DIUSULKAN 1.0	D I U S U L K A N
DIWAKILI 1.0	D I W A K I L I
DKI 1.0	D EE K A I
DOKTER 1.0	D O K T E R
DOLLAR 1.0	D O L A R
DONALD 1.0	D O N A L D
DOSEN 1.0	D O S EE N
DOT 1.0	D O T
DOUBLE 1.0	D O U B L E
DOWNER 1.0	D O W N E R
DPP 1.0	D EE P EE P EE
DPR 1.0	D EE P EE EE R
DRAFT 1.0	D R A F T
DRASTIS 1.0	D R A S T I S
DUA 1.0	D U A
DUDUK 1.0	D U D U K
DUET 1.0	D U E T
DUKA 1.0	D U K A
DULU 1.0	D U L U
DUMAS 1.0	D U M A S
DUNANT 1.0	D U N A N
DUNIA 1.0	D U N I A
DUR 1.0	D U R
DURI 1.0	D U R I
DZULHIJJAH 1.0	Z U L H I J A H
E 1.0	EE
EDGAR 1.0	EE D G A R
EDINBURGH 1.0	EE D I N B U R G
EDMON 1.0	EE D M O N
EDWARD 1.0	EE D W A R D
EFFENDI 1.0	EE F EE N D I
EFRAIN 1.0	EE F R A I N
EGGI 1.0	EE G I
EH 1.0	EE H
EKONOMI 1.0	EE K O N O M I
EKS 1.0	EE K S
EKSPLOITASI 1.0	EE K S P L O I T A S I
EKSPLORASI 1.0	EE K S P L O R A S I
EKSTRA 1.0	EE K S T R A
ELVY 1.0	EE L V I
ELZA 1.0	EE L Z A
EMAS 1.0	E M A S
EMOI 1.0	EE M OI
EMPAT 1.0	E M P A T
EMVAL 1.0	EE M V A L
ENAM 1.0	E N A M
ENDRIARTONO 1.0	EE N D R I A R T O N O
ENGGANO 1.0	EE NG G A N O
EQUITY 1.0	EE K U I T I
ERA 1.0	EE R A
ERIKSSON 1.0	EE R I K S O N
ESTU 1.0	EE S T U
ETNIS 1.0	EE T N I S
EXCITING 1.0	EE K S C I T I NG
EXECUTIVE 1.0	EE K S E C U T I V E
EXHAUST 1.0	EE K S H A U S
EXPLORER 1.0	EE K S P L O R E R
EXXON 1.0	EE K S O N
EXXONMOBIL 1.0	EE K S O N M O B I L
F 1.0	EE F
FABIEN 1.0	F A B I EE N
FAILURE 1.0	F A I L U R E
FAQIH 1.0	F A K I H
FARID 1.0	F A R I D
FAROQ 1.0	F A R O K
FASHION 1.0	F A SY I O N
FATWA 1.0	F A T W A
FAULT 1.0	F A U L T
FAWZY 1.0	F A W Z I
FBR 1.0	EE F B EE EE R
FEITH 1.0	F EE I T H
FELIX 1.0	F EE L I K S
FELX 1.0	F EE L K S
FERGUSON 1.0	F EE R G U S O N
FEROZA 1.0	F EE R O Z A
FILIPINA 1.0	F I L I P I N A
FILM 1.0	F I L M
FILSAFAT 1.0	F I L S A F A T
FINAL 1.0	F I N A L
FIQH 1.0	F I K H
FIREWORKS 1.0	F I R E W O R K S
FITZPATRICK 1.0	F I T Z P A T R I C K
FOIL 1.0	F O I L
FORDEM 1.0	F O R D E M
FORENSIK 1.0	F O R EE N S I K
FORUM 1.0	F O R U M
FOXNEWS 1.0	F O K S N EE W S
FRAKSI 1.0	F R A K S I
FRANJO 1.0	F R A N J O
FRANKLIN 1.0	F R A N K L I N
FRESHENER 1.0	F R EE SY E N E R
FRETILIN 1.0	F R EE T I L I N
FUNGSIONARIS 1.0	F U NG S I O N A R I S
FX 1.0	EE F EE K S
G 1.0	G EE
GA 1.0	G A
GAGAL 1.0	G A G A L
GAIZKA 1.0	G A I Z K A
GALAXI 1.0	G A L A K S I
GAM 1.0	G A M
GAMBAR 1.0	G A M B A R
GAMBIR 1.0	G A M B I R
GANDHI 1.0	G A N D I
GANGGUAN 1.0	G A NG G U A N
GANTI 1.0	G A N T I
GARLAND 1.0	G A R L A N
GAWANG 1.0	G A W A NG
GCG 1.0	G EE C EE G EE
GDE 1.0	G E D EE
GEDUNG 1.0	G E D U NG
GELANDANG 1.0	G E L A N D A NG
GELENG 1.0	G EE L EE NG
GENETIKA 1.0	G EE N EE T I K A
GENTAR 1.0	G E N T A R
GEOLOGI 1.0	G EE O L O G I
GERAK 1.0	G E R A K
GERAKAN 1.0	G E R A K A N
GERBONG 1.0	G E R B O NG
GERILYA 1.0	G E R I L Y A
GERUNG 1.0	G E R U NG
GIJZELING 1.0	G I J Z EE L I NG
GILIMANUK 1.0	G I L I M A N U K
GILIRAN 1.0	G I L I R A N
GIZJELING 1.0	G I Z J EE L I NG
GLAS 1.0	G L A S
GLOBAL 1.0	G L O B A L
GOL 1.0	G O L
GOLD 1.0	G O L D
GOLDSTEIN 1.0	G O L D S T EE I N
GOLKAR 1.0	G O L K A R
GONG 1.0	G O NG
GONZALES 1.0	G O N Z A L EE S
GORAN 1.0	G O R A N
GRANAT 1.0	G R A N A T
GROWTH 1.0	G R O W T
GRUP 1.0	G R U P
GUGATAN 1.0	G U G A T A N
GUGUR 1.0	G U G U R
GUMAY 1.0	G U M AI
GUMPALAN 1.0	G U M P A L A N
GUNA 1.0	G U N A
GUNNAR 1.0	G U N A R
GUNUNG 1.0	G U N U NG
GUS 1.0	G U S
GYANENDRA 1.0	G I A N EE N D R A
GYMNASTIAR 1.0	G I M N A S T I A R
H 1.0	H A
HA 1.0	H A
HABIBIE 1.0	H A B I B I
HADAR 1.0	H A D A R
HADIR 1.0	H A D I R
HAFIZHAH 1.0	H A F I Z A H
HAI 1.0	H A I
HAJI 1.0	H A J I
HAKIM 1.0	H A K I M
HAL 1.0	H A L
HALAMAN 1.0	H A L A M A N
HALFVOLLEY 1.0	H A L F V O L L EE Y
HALIMAH 1.0	H A L I M A H
HAMAS 1.0	H A M A S
HAMBATAN 1.0	H A M B A T A N
HAMENGKU 1.0	H A M E NG K U
HAMPIR 1.0	H A M P I R
HAMZAH 1.0	H A M Z A H
HANYA 1.0	H A NY A
HARGA 1.0	H A R G A
HARI 1.0	H A R I
HARIAN 1.0	H A R I A N
HARINYA 1.0	H A R I NY A
HARRY 1.0	H A R R I
HARUS 1.0	H A R U S
HASAN 1.0	H A S A N
HASANUDDIN 1.0	H A S A N U D I N
HASIL 1.0	H A S I L
HASILNYA 1.0	H A S I L NY A
HASJRUL 1.0	H A S J R U L
HASYIM 1.0	H A SY I M
HATI 1.0	H A T I
HAWK 1.0	H A W K
HAYAM 1.0	H A Y A M
HAZ 1.0	H A Z
HDC 1.0	H A D EE C EE
HEMATOLOGI 1.0	H EE M A T O L O G I
HENDAK 1.0	H E N D A K
HENNY 1.0	H EE N I
HENRY 1.0	H EE N R I
HERAMUDIN 1.0	H EE R A M U D I N
HERUT 1.0	H EE R U T
HIDUP 1.0	H I D U P
HIDUPNYA 1.0	H I D U P NY A
HIJAU 1.0	H I J AU
HIMBAUAN 1.0	H I M B A U A N
HIMPUNAN 1.0	H I M P U N A N
HINGGA 1.0	H I NG G A
HITAM 1.0	H I T A M
HITZFELD 1.0	H I T Z F EE L D
HIZBULLAH 1.0	H I Z B U L L A H
HOIRUL 1.0	H O I R U L
HOLLYWOOD 1.0	H O L I W O O D
HONG 1.0	H O NG
HONGKONG 1.0	H O NG K O NG
HOTEL 1.0	H O T EE L
HUDBHOY 1.0	H U D B O Y
HUKUM 1.0	H U K U M
HUTAN 1.0	H U T A N
HYDE 1.0	H I D E
HYDRAULIC 1.0	H I D R A U L I C
HYSTRIXS 1.0	H I S T R I K S
I 1.0	I
IA 1.0	I A
IBADAH 1.0	I B A D A H
ICW 1.0	I C EE W EE
IDE 1.0	I D EE
IDRIS 1.0	I D R I S
IGNATIUS 1.0	I G N A T I U S
IHSAN 1.0	I H S A N
IHZA 1.0	I H Z A
III 1.0	I I I
IKANG 1.0	I K A NG
ILEGAL 1.0	I L EE G A L
IMAM 1.0	I M A M
INDAH 1.0	I N D A H
INDIA 1.0	I N D I A
INDONESIA 1.0	I N D O N EE S I A
INDRA 1.0	I N D R A
INDUSTRI 1.0	I N D U S T R I
INGGRIS 1.0	I NG G R I S
INGIN 1.0	I NG I N
INGKAR 1.0	I NG K A R
INI 1.0	I N I
INSIDEN 1.0	I N S I D EE N
INSTALASI 1.0	I N S T A L A S I
INTERNASIONAL 1.0	I N T E R N A S I O N A L
INTERUPSI 1.0	I N T E R U P S I
INVESTASI 1.0	I N V EE S T A S I
INVESTIGASI 1.0	I N V EE S T I G A S I
IQBAL 1.0	I K B A L
IQRA 1.0	I K R A
IQTISSADIA 1.0	I K T I S A D I A
IRAK 1.0	I R A K
IRAMA 1.0	I R A M A
IRGUN 1.0	I R G U N
ISLAM 1.0	I S L A M
ISLAMABAD 1.0	I S L A M A B A D
ISMAIL 1.0	I S M A I L
ISRAEL 1.0	I S R A EE L
ISTIQLAL 1.0	I S T I K L A L
ISTIRAHAT 1.0	I S T I R A H A T
ISTRINYA 1.0	I S T R I NY A
ITECEZET 1.0	I T EE C EE Z EE T
ITU 1.0	I T U
IVAN 1.0	I V A N
JADI 1.0	J A D I
JADWAL 1.0	J A D W A L
JAFAR 1.0	J A F A R
JAKARTA 1.0	J A K A R T A
JAKASETIA 1.0	J A K A S E T I A
JALAN 1.0	J A L A N
JALIL 1.0	J A L I L
JAM 1.0	J A M
JAMWAS 1.0	J A M W A S
JANGAN 1.0	J A NG A N
JANJI 1.0	J A N J I
JANKULOVSKI 1.0	J A N K U L O V S K I
JARINGAN 1.0	J A R I NG A N
JASA 1.0	J A S A
JASMI 1.0	J A S M I
JATENG 1.0	J A T E NG
JATI 1.0	J A T I
JATIM 1.0	J A T I M
JATUH 1.0	J A T U H
JAUH 1.0	J A U H
JAVNOSTI 1.0	J A V N O S T I
JAWA 1.0	J A W A
JAZZ 1.0	J A Z
JEMAAH 1.0	J E M A A H
JEMBATAN 1.0	J E M B A T A N
JENAZAH 1.0	J E N A Z A H
JENDERAL 1.0	J EE N D E R A L
JENDRAL 1.0	J EE N D R A L
JENEWA 1.0	J E N EE W A
JENIS 1.0	J E N I S
